578525,United States of America
261660,Italy
191757,Germany
118308,Mexico
77747,Poland
61141,Spain
53983,United Kingdom
34585,Afghanistan
33995,France
25594,Argentina
15104,Greece
14422,Canada
13681,Norway
13538,Australia
7256,Finland
7161,Switzerland
5757,Sweden
5169,Brazil
4919,Slovenia
4746,Albania
4144,Denmark
2819,Turkey
2616,Austria
2395,Algeria
2301,Belgium
2192,Chile
1696,India
1632,Slovakia
1444,Ukraine
1337,Colombia
1224,Israel
1144,Malaysia
928,Philippines
914,Uruguay
875,Bulgaria
772,Egypt
624,Indonesia
597,Angola
519,Bahamas
519,Armenia
471,Venezuela
428,Thailand
372,Ireland
367,Iran
354,Nepal
344,Czechia
314,Lithuania
300,Andorra
288,Portugal
250,Peru
240,United Arab Emirates
227,Ethiopia
210,Cyprus
209,China
199,Hungary
190,Croatia
172,New Zealand
158,Tunisia
152,Morocco
144,Japan
130,Romania
107,Bolivia
100,Syria
64,South Korea
52,Latvia
45,Panama
41,Estonia
40,Jordan
33,Bangladesh
30,Pakistan
27,Iceland
23,Serbia
21,Antigua
16,Kenya
14,Ecuador
11,Kyrgyzstan
7,Azerbaijan
2,Cameroon
0,Zimbabwe
0,Zambia
0,Yemen
0,Viet Nam
0,Vanuatu
0,Uzbekistan
0,Uganda
0,Tuvalu
0,Turkmenistan
0,Trinidad and Tobago
0,Tonga
0,Togo
0,Timor-Leste
0,The Netherlands
0,Tanzania
0,Tajikistan
0,Taiwan
0,Swaziland
0,Suriname
0,Sudan
0,State of Palestine
0,St. Vincent & Grenadines 
0,Sri Lanka
0,South Sudan
0,Somalia
0,Solomon Islands
0,Singapore
0,Sierra Leone
0,Seychelles
0,Senegal
0,Saudi Arabia
0,Sao Tome and Principe
0,San Marino
0,Samoa
0,Saint Lucia
0,Saint Kitts and Nevis
0,Rwanda
0,Russian Federation
0,Republic of South Africa
0,Qatar
0,Paraguay
0,Papua New Guinea
0,Palau
0,Oman
0,North Korea
0,Nigeria
0,Niger
0,Nicaragua
0,Nauru
0,Namibia
0,Myanmar
0,Mozambique
0,Montenegro
0,Mongolia
0,Monaco
0,Moldova
0,Micronesia
0,Mauritius
0,Mauritania
0,Marshall Islands
0,Malta
0,Mali
0,Maldives
0,Malawi
0,Madagascar
0,Macedonia
0,Luxembourg
0,Liechtenstein
0,Libya
0,Liberia
0,Lesotho
0,Lebanon
0,Laos
0,Kuwait
0,Kiribati
0,Kazakhstan
0,Jamaica
0,Iraq
0,Honduras
0,Holy See
0,Haiti
0,Guyana
0,Guinea-Bissau
0,Guinea
0,Guatemala
0,Grenada
0,Ghana
0,Georgia
0,Gambia
0,Gabon
0,Fiji
0,Eritrea
0,Equatorial Guinea
0,El Salvador
0,Dominican Republic
0,Dominica
0,Djibouti
0,Democratic Republic of the Congo
0,Cuba
0,Cte d'Ivoire
0,Costa Rica
0,Congo
0,Comoros
0,Chad
0,Central African Republic
0,Cambodia
0,Cabo Verde
0,Burundi
0,Burkina Faso
0,Brunei
0,Botswana
0,Bosnia and Herzegovina 
0,Bhutan
0,Benin
0,Belize
0,Belarus
0,Barbados
0,Bahrain
0,Antarctica
